GISJOIN,link
G06068000,"['https://www.sanjoseca.gov/your-government/departments/information-technology/smart-city-vision', 'https://www.sanjoseca.gov/your-government/departments/office-of-the-city-manager/offices/civic-innovation/smart-city-advisory-board', 'https://www.sanjoseca.gov/your-government/environment/climate-smart-san-jos', 'https://www.sanjoseca.gov/home/showdocument?id=1364', 'https://www.sanjoseca.gov/your-government/departments/office-of-the-city-manager/offices/civic-innovation/smart-city-advisory-board/smart-city-advisory-board-members', 'https://www.sanjoseca.gov/your-government/departments-offices/office-of-the-city-manager/civic-innovation/digital-inclusion-and-broadband-strategy', 'https://www.sanjoseca.gov/your-government/departments-offices/civic-innovation', 'https://www.sanjoseca.gov/home/showpublisheddocument/61255/637297976506970000', 'https://www.sanjoseca.gov/Home/Components/Calendar/Event/3973/1574?curm=8&cury=2021', 'https://www.sanjoseca.gov/home/showpublisheddocument/37965/636840122443800000']"
G06068084,"['https://www.sanleandro.org/1067/Smart-City-San-Leandro', 'https://www.sanleandro.org/1080/The-Future', 'https://www.sanleandro.org/1082/News', 'https://www.sanleandro.org/DocumentCenter/View/5908/Fiber-Optic-Master-Plan-and-Smart-City-Strategy-PDF', 'https://www.sanleandro.org/1079/Projects', 'https://www.sanleandro.org/572/Contact-Us', 'https://www.sanleandro.org/1028/Press-Releases---2018', 'https://www.sanleandro.org/180/Pauline-Russo-Cutter', 'https://www.sanleandro.org/Archive/ViewFile/Item/52', 'https://www.sanleandro.org/981/Friends-of-San-Leandro-Creek', 'https://www.sanleandro.org/1011/Storm-Information', 'https://www.sanleandro.org/570/Public-Works', 'https://www.sanleandro.org/605/Monarch-Bay-Golf', 'https://www.sanleandro.org/DocumentCenter/View/1288/Vision-for-San-Leandro-PDF', 'https://www.sanleandro.org/648/Emergency-Management-Program', 'https://www.sanleandro.org/656/Mission-Statement', 'https://www.sanleandro.org/168/Departments', 'https://www.sanleandro.org/654/Sister-Cities', 'https://www.sanleandro.org/859/Information-Technology', 'https://www.sanleandro.org/794/Fire-Services', 'https://www.sanleandro.org/QuickLinks.aspx', 'https://www.sanleandro.org/DocumentCenter/View/1281/Chapter-5-Economic-Development-Element-PDF', 'https://www.sanleandro.org/281/San-Leandro-Next']"
G06068364,"['https://www.cityofsanrafael.org/agencies-involved-smart/', 'https://www.cityofsanrafael.org/san-rafael-is-the-first-city-to-use-the-smart-fiber-for-signal-communications/', 'https://www.cityofsanrafael.org/street-smarts-is-coming-to-san-rafael/', 'https://www.cityofsanrafael.org/san-rafael-smart-station-closure-june-8-9/', 'https://www.cityofsanrafael.org/search-site?pager=204&term=Visit+Cheapfifa23coins.com+30%25+OFF+code%3AFIFA2022%7C+Highly+Recommend%2C+Great+Service+10%2F10+for++fifa+22+coins+for+sale+in+MALI%21..++ks08', 'https://www.cityofsanrafael.org/search-site?pager=198&term=Visit+Cheapfifa23coins.com+30%25+OFF+code%3AFIFA2022%7C+No+worries+at+all+when+you+buy++fifa+22+coin+seller+in+TRINIDAD+AND+TOBAGO%21..++ow4c', 'https://www.cityofsanrafael.org/digital-service-friday-memo-january-21-2022/', 'https://www.cityofsanrafael.org/smart-construction-continues-at-the-san-rafael-transit-center/', 'https://www.cityofsanrafael.org/search-site?pager=68&term=city+council', 'https://www.cityofsanrafael.org/now-hiring-senior-technical-project-manager/']"
G06068378,"['http://www.sanramon.ca.gov/our_city/boards_committees_commissions/itac', 'https://www.sanramon.ca.gov/UserFiles/Servers/Server_10826046/File/Our%20City/Departments/Public%20Works/Documents/San%20Ramon%20ITS%20Master%20Plan.pdf', ""https://www.sanramon.ca.gov/UserFiles/Servers/Server_10826046/File/SR-Winter'18-Newsletter-Website%20(003).pdf""]"
G06069084,"['https://www.santaclaraca.gov/?navid=1966', 'https://www.santaclaraca.gov/home/showdocument?id=62267', 'https://www.santaclaraca.gov/home/showpublisheddocument/58627/636675074112370000', 'https://www.santaclaraca.gov/home/showpublisheddocument/58657/636675182828570000', 'https://www.santaclaraca.gov/home/showpublisheddocument/13498/635713044859030000']"
G06069088,['https://www.santa-clarita.com/Home/ShowDocument?id=18196']
G06069196,"['https://www.cityofsantamaria.org/home/showpublisheddocument/22378/636377077356830000', 'https://www.cityofsantamaria.org/Home/Components/News/News/7367/18?backlist=%2F', 'https://www.cityofsantamaria.org/city-government/departments/city-manager', 'https://www.cityofsantamaria.org/city-government/departments/police-services', 'https://www.cityofsantamaria.org/Home/Components/Calendar/Event/1004/21?toggle=all&sortn=EDate&folder=1106&sortd=asc', 'https://www.cityofsantamaria.org/city-government/departments/library/about-and-contact', 'https://www.cityofsantamaria.org/home/showpublisheddocument/30306/637854568357282945', 'https://www.cityofsantamaria.org/home/showpublisheddocument/25266/636694986307470000', 'https://www.cityofsantamaria.org/home/showpublisheddocument/30256/637828622341570000']"
G06070000,"['https://www.santamonica.gov/champion-organizational-innovation-and-growth', 'https://www.santamonica.gov/isd/strategic-themes-and-goals']"
G06070098,"['https://www.srcity.org/3373/SMART-Phase-1-Village-Residential', 'https://www.srcity.org/3708/Bicycle-Parking', 'https://www.srcity.org/DocumentCenter/View/23034/SantaRosaBPMPU2018_A_Recommendation-Tables', 'https://www.srcity.org/DocumentCenter/View/15395', 'https://www.srcity.org/DocumentCenter/View/31701/425-Humboldt-Street---Traffic-Technical-Operation-Memo-by-Fehr-Peers-dated-March-4-2021', 'https://srcity.org/DocumentCenter/View/36396', 'https://www.srcity.org/DocumentCenter/View/24320/SantaRosaBPMPU2018_03_Santa-Rosa-Today', 'https://www.srcity.org/DocumentCenter/View/36057/General-Plan-Annual-Review-Report-2021']"
G06071806,"['https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Services/Library/PressRelease/Press%20Release%20-%20Local%20History%20Materials%20Now%20Available%20Free%20on%20California....pdf', 'https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Departments/City%20Clerk/Local%20Appointment%20List%202021-1101%20approved.pdf', 'https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Minutes/Council%20Minutes%20Septemebr%2022nd,%202020.pdf', 'https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Minutes/May%2025,%202021.pdf', 'https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Minutes/January%2026,%202021.pdf', 'https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Council%20Minutes%20-%209-10-2019.pdf', 'http://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Minutes/Council%20Minutes%20Janurary%2028th,%202020.pdf', 'https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Minutes/June%208,%202021.pdf', 'https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/1.22.19%20CC%20Meeting%20Minutes.pdf', 'https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Minutes/July%2027,%202021.pdf', 'https://www.cityofsierramadre.com/common/pages/DisplayFile.aspx?itemId=17543785', 'http://www.cityofsierramadre.com/common/pages/DisplayFile.aspx?itemId=14914338']"
G06072016,['https://www.simivalley.org/Home/ShowDocument?id=23411']
G06072996,['https://www.cityofsouthelmonte.org/DocumentCenter/View/2705/2022-Investment-Opportunities-Brochure-PDF']
G06073262,['https://www.ssf.net/home/showpublisheddocument/24742/637691971863500000']
G06080812,['https://www.cityofturlock.org/_pdf/downloadpresentation.asp?dept=CityCouncil&id=9']
G06081204,['https://www.unioncity.org/DocumentCenter/View/6200']
G06084410,"['https://www.weho.org/city-government/weho-smart-city', 'https://www.weho.org/home/showpublisheddocument/30433/636214776713970000', 'https://www.weho.org/Home/Components/News/News/8480/23', 'https://www.weho.org/Home/Components/News/News/7557/23', 'https://www.weho.org/home/showdocument?id=35743', 'https://www.weho.org/home/showpublisheddocument/35917/636571532353430000', 'https://www.weho.org/home/showpublisheddocument/36181/636600741164100000', 'https://www.weho.org/city-government/communications/innovation', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/long-range-planning/land-use-planning/design-district-streetscape-project', 'https://www.weho.org/home/showpublisheddocument/36183/636600744023170000', 'https://www.weho.org/Home/Components/News/News/8508/', 'https://www.weho.org/city-government/communications/digital-media/privacy-policy', 'https://www.weho.org/home/showpublisheddocument/53263/637896922897630000', 'https://www.weho.org/city-government/city-departments/public-works/environmental-services/trash-and-recycling/recycling-guide', 'https://www.weho.org/Home/Components/News/News/10543/23', 'https://www.weho.org/Home/Components/News/News/8654/', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/star-communities-certification', 'https://www.weho.org/Home/Components/News/News/8368/', 'https://www.weho.org/Home/Components/News/News/10358/23', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/long-range-planning/sustainability/climate-action-plan/climate-action-and-adaptation-plan', 'https://www.weho.org/business/business-resources/interactive-data-tools/quarterly-sales-tax-updates', 'https://www.weho.org/business/business-resources/interactive-data-tools/business-database', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/rent-increase-freeze-rent-increase-cap-feedback-survey', 'https://www.weho.org/city-government/open-gov', 'https://www.weho.org/services/services/service-requests/service-requests-mobile', 'https://www.weho.org/city-government/city-departments/public-works/parking-services/parking-credits-program', 'https://www.weho.org/services/weho-responds', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/long-range-planning/sustainability/climate-action-plan', 'https://www.weho.org/city-government/communications/digital-media/e-mail-update-disclaimer', 'https://www.weho.org/home/showpublisheddocument/50325/637616947024330000', 'https://www.weho.org/city-government/rent-stabilization/about-the-division/finding-affordable-housing/non-profit-housing', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/long-range-planning/sustainability', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/for-landlords', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/weho-e-plan-check-program/weho-e-plan-check-program-q-a-s', 'https://www.weho.org/city-government/communications/west-hollywood-film-office/resources', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/current-and-historic-preservation-planning/planning-online-services', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/green-building-program/2007-green-building-program', 'https://www.weho.org/business/business-resources/interactive-data-tools', 'https://www.weho.org/city-government/city-departments/public-works/parking-services/moving-permits', 'https://www.weho.org/business/business-organizations/wehoworks-career-resource-center', 'https://www.weho.org/business/business-organizations/wehoworks-career-resource-center', 'https://www.weho.org/services/domestic-partnerships', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/green-building-program/our-approach-to-green-building', 'https://www.weho.org/city-government/communications/innovation/street-media-project', 'https://www.weho.org/business/business-resources/promote-your-business', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/planning-awards', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/newsletters-rent-increases-security-deposit-interest', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/for-landlords/tenant-habitability-plans/tenant-habiltability-plan', 'https://www.weho.org/city-government/city-departments/public-works/parking-services/parking-citation-services', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/for-landlords/rent-stabilized-units', 'https://www.weho.org/city-government/communications/west-hollywood-film-office/law-enforcement-requirements-fire-safety', 'https://www.weho.org/city-government/communications/innovation/innovation-staff-directory', 'https://www.weho.org/city-government/communications/west-hollywood-film-office/general-downloads', 'https://www.weho.org/city-government/contact-us', 'https://www.weho.org/city-government/city-departments/public-works/parking-services/electric-vehicle-charging-more', 'https://www.weho.org/home/showpublisheddocument/51320/637709323572500000', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/director-s-hearing', 'https://www.weho.org/city-government/communications/digital-media/accessibility-policy', 'https://www.weho.org/Home/Components/StaffDirectory/StaffDirectory/698/25', 'https://www.weho.org/city-government/communications/digital-media', 'https://www.weho.org/city-government/city-departments/public-works/parking-services/parking-enforcement/street-sweeping-schedules', 'https://www.weho.org/city-government/city-departments/human-services-rent-stabilization', 'https://www.weho.org/city-government/city-departments/finance-and-technology-services', 'https://www.weho.org/city-government/city-departments/community-safety', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/accessibility-resources', 'https://www.weho.org/city-government/city-departments/community-services', 'https://www.weho.org/services/online-services/citations', 'https://www.weho.org/city-government/wehotv/wehotv', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/green-building-program', 'https://www.weho.org/city-government/city-departments/about-our-directors/captain-bill-moulder', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/for-tenants/tenant-faqs/the-mar-for-move-ins-1999-and-later', 'https://www.weho.org/community/recreation-services/helen-albert-certified-farmers-market', 'https://www.weho.org/community/local-community-services/links-to-government-agencies', 'https://www.weho.org/city-government/boards-commissions/commissions/arts-and-cultural-affairs-commission/urban-arts', 'https://www.weho.org/city-government/city-departments/community-safety/community-safety-and-well-being', 'https://www.weho.org/services/online-services/permits', 'https://www.weho.org/services/online-services', 'https://www.weho.org/business/sustainable-business-practices', 'https://www.weho.org/city-government/city-departments/administrative-services/human-resources/salary-and-compensation-info', 'https://www.weho.org/Home/Components/StaffDirectory/StaffDirectory/860/25?alpha=S', 'https://www.weho.org/services/public-transportation-transit-options/cityline-shuttle/cityline-art-about-the-artists', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/staff-directory', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/building-and-safety-division-counter-services', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/for-tenants/tenant-faqs/the-mar-for-move-ins-from-1996-to-1998', 'https://www.weho.org/city-government/city-departments/about-our-directors/danny-rivas', 'https://www.weho.org/Home/Components/StaffDirectory/StaffDirectory/1010/2019', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/seismic-retrofit', 'https://www.weho.org/services/parking-services', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/forms', 'https://www.weho.org/city-government/city-departments/community-safety/public-safety/sheriff-fire-security-ambassadors/security-ambassadors', 'https://www.weho.org/city-government/city-departments', 'https://www.weho.org/Home/Components/StaffDirectory/StaffDirectory/908/25?alpha=P', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/current-and-historic-preservation-planning/environmental-documents', 'https://www.weho.org/city-government/city-departments/finance-and-technology-services/revenue-management/business-tax', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/long-range-planning/mobility-planning', 'https://www.weho.org/city-government/rent-stabilization/rental-housing/building-blocks', 'https://www.weho.org/Home/Components/News/News/10511/23', 'https://www.weho.org/Home/Components/StaffDirectory/StaffDirectory/723/25', 'https://www.weho.org/city-government/city-departments/planning-and-development-services/building-and-safety/green-building-program/compliance-forms-guides-and-resources', 'https://www.weho.org/city-government/contact-us/email-subscriptions']"
G08003455,"['https://arvada.org/source/HRNew%20Folder/Arvada%20Traffic%20Engineering%20Job%20Description%201%201%201.pdf', 'https://arvada.org/city-hall/city-council/about-city-council/bob-fifer-councilmember-at-large', 'https://arvada.org/residents/services-and-sustainability/broadband', 'https://arvada.org/search/?q=Apex+Community+Recreation+Center', 'https://arvada.org/source/Strategic%20Plan/2022/Accessible-COA-Council-Strategic-Plan-2022pdf.pdf', 'https://arvada.org/records-documents/arvada-city-council-agenda-packets-and-minutes/agenda-packets/previous-weeks/2020.....04-06-2020,%20Council%20Meeting%20Packet.pdf', 'https://arvada.org/records-documents/arvada-city-council-agenda-packets-and-minutes/agenda-packets/previous-weeks/2021.....04-19-2021%20Council%20Meeting%20Packet.pdf', 'https://arvada.org/records-documents/arvada-city-council-agenda-packets-and-minutes/agenda-packets/previous-weeks/2020.....03-02-2020,%20Council%20Meeting%20Packet.pdf', 'https://arvada.org/source/Finance/2021-2022%20Biennial%20Operating%20and%20Capital%20Budget/For%20Website%20PDF/2021-2022%20Beinnial%20Operating%20and%20Capital%20Budget%20Final%20with%20Bookmarks%20for%20Online%201.pdf']"
G08004000,"['https://www.auroragov.org/UserFiles/Servers/Server_1881137/File/City%20Hall/Intergovernmental-Relations/2022%20State%20Priorities%20Final.pdf', 'https://www.auroragov.org/UserFiles/Servers/Server_1881137/File/City%20Hall/Intergovernmental-Relations/2022%20Federal%20Priorities%20Priorities.pdf', 'https://www.auroragov.org/UserFiles/Servers/Server_1881137/File/Business%20Services/Planning/Comprehensive%20Plan/Aurora%20Places%20Plan%20Adopted.pdf']"
G08007850,"['https://bouldercolorado.gov/government/departments/innovation-technology/about', 'https://bouldercolorado.gov/news/american-rescue-plan-act-spending-summary', 'https://bouldercolorado.gov/media/8985/download?inline', 'https://bouldercolorado.gov/links/fetch/32888', 'https://bouldercolorado.gov/boulder-community-honors-awards', 'https://bouldercolorado.gov/media/3767/download?inline=']"
G08008400,['https://www.townofbreckenridge.com/home/showpublisheddocument/19262/637406902617770000']
G08008675,"['https://www.brightonco.gov/1438/Strategic-Plan', 'https://www.brightonco.gov/DocumentCenter/View/24887/2021-Strategic-Plan-Q3-Update', 'https://www.brightonco.gov/DocumentCenter/View/21512', 'https://www.brightonco.gov/DocumentCenter/View/23323', 'https://www.brightonco.gov/DocumentCenter/View/21134/2020-Adopted-Budget-PDF']"
G08012815,"['https://www.centennialco.gov/files/sharedassets/public/documents/office-of-strategic-initiatives/city-of-centennial-joins-newly-formed-colorado-smart-cities-alliance.pdf', 'https://www.centennialco.gov/files/sharedassets/public/documents/fiber/fiberworks/city-of-centennial-fiber-master-plan-as-adopted.pdf', 'https://www.centennialco.gov/Government/City-Projects-and-Initiatives/Cameras-Sensors', 'https://www.centennialco.gov/files/sharedassets/public/documents/community-development/centennialnext-appendices-appendix-a-c-reduced-size.pdf', 'https://www.centennialco.gov/files/sharedassets/public/documents/have-your-say-centennial/orchard-road-town-homes-virtual-public-hearing/attachment-3-community-participation-report.pdf', 'https://www.centennialco.gov/files/sharedassets/public/documents/finance/city-budget/2022/budget-book-2022-capital.8.pdf', 'https://www.centennialco.gov/files/sharedassets/public/documents/finance/city-budget/2021/website_capital-projects.pdf']"
G08016000,"['https://coloradosprings.gov/smartcos', 'https://coloradosprings.gov/sites/default/files/inline-images/smartcos_strategy_final.pdf', 'https://coloradosprings.gov/city-council/article/news/westside-residents-and-businesses-asked-be-bear', 'https://coloradosprings.gov/sites/default/files/smart_streetlights_pilot_project_-_final_report_2.pdf', 'https://coloradosprings.gov/smartstreetlight', 'https://coloradosprings.gov/sites/default/files/inline-images/connectcos_transportation_system_assessment_working_paper_17may2021.pdf', 'https://coloradosprings.gov/tag/neighborhood-services-code-enforcement', 'https://coloradosprings.gov/sites/default/files/inline-images/small_cell_powerpoint_presentation_for_council_work_session_8.26_rdoc.pdf', 'https://coloradosprings.gov/plancos/book/strong-connections-utilities-typologies', 'https://www.coloradosprings.gov/sites/default/files/strategic_plan_2017_update.pdf', 'https://coloradosprings.gov/plancos/book/introduction-vision-and-big-ideas', 'https://coloradosprings.gov/sites/default/files/inline-images/factsheetfaqs_downtown_stadium.pdf', 'https://coloradosprings.gov/sites/default/files/plancos_full_comprehensive_plan_draft_11.8.18.pdf', 'https://coloradosprings.gov/sites/default/files/air_pollution_in_se_coloraro_springs_report_final.pdf', 'https://coloradosprings.gov/sites/default/files/2021fbudget-31-01-cip.pdf']"
